NONTARGET_GROUP_NAME,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Birds - Auklets,NA,NA,0,0,0,0,0,0,0,NA,NA
Birds - Black-footed Albatross,0,0,NA,0,0,0,NA,NA,NA,NA,NA
Birds - Cormorant,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
Birds - Gull,0,0,0,0,0,0,0,0,0,0,0
Birds - Kittiwake,NA,0,0,0,0,0,0,0,0,0,0
Birds - Laysan Albatross,0,0,0,0,0,0,0,0,0,0,0
Birds - Murre,0,0,0,0,0,NA,0,0,NA,NA,0
Birds - Northern Fulmar,0,0,0,0,0,0,0,0,0,0,0
Birds - Other,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Birds - Other Alcid,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
Birds - Puffin,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
Birds - Shearwaters,0,0,0,0,0,0,0,0,0,0,0
Birds - Short-tailed Albatross,0,0,NA,NA,0,NA,NA,NA,NA,NA,0
Birds - Storm Petrels,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Birds - Unidentified,0,0,0,0,0,0,0,0,0,0,0
Birds - Unidentified Albatross,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
