"year","total","FHS","BF"
1992,4,4,0
1995,14715,14710,4
1996,17346,17341,5
1997,20683,20678,5
1998,24387,24381,7
1999,18573,18553,20
2000,20441,20408,33
2001,17811,17795,16
2002,15575,15550,25
2003,13785,13767,18
2004,17398,17374,24
2005,16108,16077,31
2006,17981,17975,6
2007,18958,18952,6
2008,24540,24526,14
2009,19558,19530,28
2010,20127,20101,26
2011,13557,13536,20
2012,11365,11359,6
2013,17353,17272,80
2014,16511,16478,33
2015,11306,11273,33
2016,10313,10301,12
2017,9111,9107,3
2018,11007,11001,5
2019,15880,15879,1
2020,9392,9389,3
2021,10260,10255,4
2022,7916,7916,0
